"","X","EVTYPE","YEAR","DAMAGE","HEALTHIMPACT"
"1",1,"TORNADO",1950,25000,15
"2",2,"TORNADO",1950,2500,0
"3",3,"TORNADO",1951,25000,2
"4",4,"TORNADO",1951,2500,2
"5",5,"TORNADO",1951,2500,2
"6",6,"TORNADO",1951,2500,6
"7",7,"TORNADO",1951,2500,1
"8",8,"TORNADO",1952,2500,0
"9",9,"TORNADO",1952,25000,15
"10",10,"TORNADO",1952,25000,0
"11",11,"TORNADO",1952,2500000,3
"12",12,"TORNADO",1952,2500000,3
"13",13,"TORNADO",1952,250000,27
"14",14,"TORNADO",1952,0,12
"15",15,"TORNADO",1952,25000,6
"16",16,"TORNADO",1952,25000,54
"17",17,"TORNADO",1952,25000,2
"18",18,"TORNADO",1952,25000,0
"19",19,"TORNADO",1952,25000,0
"20",20,"TORNADO",1952,25000,0
"21",21,"TORNADO",1953,25000,0
"22",22,"TORNADO",1953,2500,0
"23",23,"TORNADO",1953,2500,0
"24",24,"TORNADO",1953,25000,1
"25",25,"TORNADO",1953,25000,1
"26",26,"TORNADO",1953,25000,9
"27",27,"TORNADO",1953,25000,2
"28",28,"TORNADO",1953,25000,1
"29",29,"TORNADO",1953,25000,6
"30",30,"TORNADO",1953,2500,2
"31",31,"TORNADO",1953,2500,0
"32",32,"TORNADO",1953,2500,12
"33",33,"TORNADO",1953,25000,0
"34",34,"TORNADO",1953,2500000,201
"35",35,"TORNADO",1953,25000,2
"36",36,"TORNADO",1953,250000,19
"37",37,"TORNADO",1953,2500,0
"38",38,"TORNADO",1953,25000,5
"39",39,"TORNADO",1953,2500,2
"40",40,"TORNADO",1953,25000,0
"41",41,"TORNADO",1953,2500,0
"42",42,"TORNADO",1953,25000,1
"43",43,"TORNADO",1954,2500,0
"44",44,"TORNADO",1954,25000,0
"45",45,"TORNADO",1954,25000,0
"46",46,"TORNADO",1954,30,0
"47",47,"TORNADO",1954,25000,1
"48",48,"TORNADO",1954,250000,4
"49",49,"TORNADO",1954,250000,26
"50",50,"TORNADO",1954,2500,3
"51",51,"TORNADO",1954,2500,2
"52",52,"TORNADO",1954,25000,0
"53",53,"TORNADO",1955,25000,1
"54",54,"TORNADO",1955,25000,1
"55",55,"TORNADO",1955,2500000,25
"56",56,"TORNADO",1955,2500,0
"57",57,"TORNADO",1955,2500,0
"58",58,"TORNADO",1955,25000,0
"59",59,"TORNADO",1955,2500000,0
"60",60,"TORNADO",1955,2500000,5
"61",61,"TORNADO",1956,25000,0
"62",62,"TORNADO",1956,2500000,225
"63",63,"TORNADO",1956,25000,2
"64",64,"TORNADO",1956,2500,0
"65",65,"TORNADO",1956,250,0
"66",66,"TORNADO",1956,250,1
"67",67,"TORNADO",1956,250,0
"68",68,"TORNADO",1957,250,0
"69",69,"TORNADO",1957,25000,4
"70",70,"TORNADO",1957,30,0
"71",71,"TORNADO",1957,25000,0
